type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2024-11-19 12:29:58,53.97460091,-7.35472712,10.45,85.477,56.999,1.330,54,25,37,,
T,2024-11-19 12:29:59,53.97459242,-7.35472615,10.48,85.781,56.999,1.170,58,25,37,,
T,2024-11-19 12:30:00,53.97458096,-7.35472559,10.46,85.594,56.999,1.270,63,25,37,,
T,2024-11-19 12:30:01,53.97456516,-7.35472504,10.21,84.494,56.999,1.240,71,24,37,,
T,2024-11-19 12:30:02,53.97454944,-7.35472728,10.11,84.836,56.999,0.900,71,25,37,,
T,2024-11-19 12:30:03,53.97453825,-7.35473179,10.11,85.204,56.999,1.140,66,25,37,,
T,2024-11-19 12:30:04,53.97452553,-7.35473527,10.13,85.332,56.999,1.180,65,25,37,,
T,2024-11-19 12:30:05,53.97451200,-7.35473439,10.19,84.641,56.999,1.290,69,25,37,,
T,2024-11-19 12:30:06,53.97449918,-7.35473563,10.24,84.504,56.999,1.040,69,25,37,,
T,2024-11-19 12:30:07,53.97448575,-7.35473749,10.23,85.183,56.999,1.090,70,24,37,,
T,2024-11-19 12:30:08,53.97447032,-7.35473791,10.15,85.471,56.999,1.240,66,23,37,,
T,2024-11-19 12:30:09,53.97445738,-7.35473752,10.12,84.799,56.999,1.290,66,23,37,,
T,2024-11-19 12:30:10,53.97444180,-7.35473627,10.06,85.533,56.999,1.320,69,24,37,,
T,2024-11-19 12:30:11,53.97442505,-7.35473651,10.05,85.636,56.999,1.420,72,23,37,,
T,2024-11-19 12:30:12,53.97441183,-7.35474014,10.01,85.579,56.999,1.130,74,24,37,,
T,2024-11-19 12:30:13,53.97439972,-7.35474369,10.01,85.435,56.999,1.350,74,24,37,,
T,2024-11-19 12:30:14,53.97438770,-7.35475143,10.03,85.322,56.999,0.850,77,24,37,,
T,2024-11-19 12:30:15,53.97437598,-7.35475976,10.12,84.764,56.999,0.940,79,24,37,,
T,2024-11-19 12:30:16,53.97436483,-7.35476745,10.37,84.186,56.999,1.000,79,24,37,,
T,2024-11-19 12:30:17,53.97435367,-7.35477401,10.34,83.747,56.999,1.210,80,25,36,,
T,2024-11-19 12:30:18,53.97434103,-7.35478199,10.43,83.481,56.999,1.190,78,24,36,,
T,2024-11-19 12:30:19,53.97432744,-7.35478906,10.47,82.841,56.999,1.180,81,24,36,,
T,2024-11-19 12:30:20,53.97431395,-7.35479649,10.80,82.366,56.999,1.250,77,23,36,,
T,2024-11-19 12:30:21,53.97430145,-7.35479966,11.32,83.077,56.999,1.180,76,24,36,,
T,2024-11-19 12:30:22,53.97428317,-7.35481862,11.12,83.286,56.999,1.110,207,24,36,,
T,2024-11-19 12:30:23,53.97427106,-7.35483191,11.16,83.035,56.999,0.820,74,24,36,,
T,2024-11-19 12:30:24,53.97426118,-7.35484447,10.85,83.002,56.999,0.840,207,24,36,,
T,2024-11-19 12:30:25,53.97425630,-7.35484810,10.84,81.747,56.999,0.370,80,23,37,,
T,2024-11-19 12:30:26,53.97425200,-7.35483784,10.93,82.513,56.999,0.530,69,21,36,,
T,2024-11-19 12:30:27,53.97425370,-7.35483224,10.83,80.998,56.999,0.490,0,22,36,,
T,2024-11-19 12:30:28,53.97424736,-7.35483271,11.01,81.419,56.998,0.480,167,22,36,,
T,2024-11-19 12:30:29,53.97424285,-7.35483005,10.99,81.610,56.998,0.910,349,23,36,,
T,2024-11-19 12:30:30,53.97424948,-7.35482796,10.63,82.384,56.998,1.250,0,22,36,,
T,2024-11-19 12:30:31,53.97424956,-7.35481534,10.22,83.161,56.998,1.320,356,22,36,,
T,2024-11-19 12:30:32,53.97424834,-7.35480501,9.94,82.887,56.998,1.240,0,22,36,,
T,2024-11-19 12:30:33,53.97424522,-7.35478656,9.94,83.285,56.998,1.450,9,21,36,,
T,2024-11-19 12:30:34,53.97424127,-7.35476973,9.94,82.375,56.998,1.300,16,23,36,,
T,2024-11-19 12:30:35,53.97423572,-7.35475255,9.94,82.707,56.998,1.190,26,23,36,,
T,2024-11-19 12:30:36,53.97422816,-7.35473474,9.94,83.057,56.998,1.580,36,23,36,,
T,2024-11-19 12:30:37,53.97421663,-7.35471856,9.94,82.702,56.998,1.570,62,23,36,,
T,2024-11-19 12:30:38,53.97420173,-7.35470643,9.94,82.725,56.998,1.460,72,23,36,,
T,2024-11-19 12:30:39,53.97418655,-7.35470191,9.96,82.327,56.998,1.360,75,23,36,,
T,2024-11-19 12:30:40,53.97417093,-7.35470181,9.94,83.038,56.998,1.570,81,22,36,,
T,2024-11-19 12:30:41,53.97415666,-7.35470162,9.94,83.399,56.998,1.260,79,24,36,,
T,2024-11-19 12:30:42,53.97414401,-7.35470341,9.94,82.949,56.998,1.230,69,24,36,,
T,2024-11-19 12:30:43,53.97413467,-7.35470922,10.06,81.458,56.998,1.210,70,23,36,,
T,2024-11-19 12:30:44,53.97412412,-7.35471711,9.94,81.463,56.998,1.160,73,22,36,,
T,2024-11-19 12:30:45,53.97411360,-7.35472011,9.94,81.689,56.998,1.420,70,22,36,,
T,2024-11-19 12:30:46,53.97410103,-7.35472484,9.94,82.465,56.998,1.170,81,22,36,,
T,2024-11-19 12:30:47,53.97408023,-7.35474415,9.94,82.356,56.998,1.280,198,21,35,,
T,2024-11-19 12:30:48,53.97406217,-7.35475831,9.94,82.955,56.998,0.950,193,20,36,,
T,2024-11-19 12:30:49,53.97404890,-7.35476661,9.94,82.897,56.998,0.980,190,21,36,,
T,2024-11-19 12:30:50,53.97403679,-7.35477204,9.94,81.710,56.998,0.980,189,22,36,,
T,2024-11-19 12:30:51,53.97402385,-7.35477695,9.94,81.779,56.998,1.230,192,23,36,,
T,2024-11-19 12:30:52,53.97401036,-7.35478023,9.95,81.194,56.998,1.360,189,23,36,,
T,2024-11-19 12:30:53,53.97400183,-7.35478528,10.19,81.391,56.998,0.920,192,24,36,,
T,2024-11-19 12:30:54,53.97398939,-7.35479244,10.24,81.454,56.998,1.440,198,24,36,,
T,2024-11-19 12:30:55,53.97398036,-7.35480166,10.38,81.827,56.998,0.950,207,25,36,,
T,2024-11-19 12:30:56,53.97397103,-7.35480697,10.64,81.567,56.998,1.130,199,24,36,,
T,2024-11-19 12:30:57,53.97396039,-7.35480923,10.22,81.467,56.998,1.210,196,24,36,,
T,2024-11-19 12:30:58,53.97395170,-7.35481564,10.25,81.338,56.998,1.190,201,24,36,,
T,2024-11-19 12:30:59,53.97394394,-7.35482009,10.30,80.790,56.998,1.090,198,21,36,,
T,2024-11-19 12:31:00,53.97392712,-7.35482625,10.46,81.714,56.998,1.940,194,19,36,,
T,2024-11-19 12:31:01,53.97391325,-7.35482752,10.49,82.447,56.998,1.050,189,18,36,,
T,2024-11-19 12:31:02,53.97390102,-7.35482685,10.64,82.261,56.998,1.250,185,18,36,,
T,2024-11-19 12:31:03,53.97388954,-7.35483496,10.23,82.272,56.998,1.240,205,18,36,,
T,2024-11-19 12:31:04,53.97387796,-7.35484216,10.14,82.692,56.998,1.120,200,21,36,,
T,2024-11-19 12:31:05,53.97386776,-7.35484650,10.27,82.588,56.998,1.060,193,22,36,,
T,2024-11-19 12:31:06,53.97385818,-7.35484711,10.23,82.236,56.998,1.160,189,24,36,,
T,2024-11-19 12:31:07,53.97384704,-7.35484829,10.17,82.457,56.998,1.190,191,25,36,,
T,2024-11-19 12:31:08,53.97383582,-7.35485461,9.99,82.227,56.998,1.230,200,24,36,,
T,2024-11-19 12:31:09,53.97382447,-7.35486268,10.01,83.027,56.998,1.260,197,24,36,,
T,2024-11-19 12:31:10,53.97381274,-7.35487086,10.23,83.295,56.998,1.440,198,23,36,,
T,2024-11-19 12:31:11,53.97380264,-7.35487950,10.52,83.228,56.998,1.150,202,22,36,,
T,2024-11-19 12:31:12,53.97379054,-7.35488813,10.51,83.010,56.998,1.410,200,22,36,,
T,2024-11-19 12:31:13,53.97377893,-7.35489593,10.33,83.321,56.998,1.520,193,21,36,,
T,2024-11-19 12:31:14,53.97376621,-7.35489854,9.94,83.703,56.998,1.310,194,22,36,,
T,2024-11-19 12:31:15,53.97376438,-7.35488760,9.94,83.378,56.998,1.330,75,22,36,,
T,2024-11-19 12:31:16,53.97375961,-7.35487754,9.99,83.100,56.998,1.400,80,23,36,,
T,2024-11-19 12:31:17,53.97375180,-7.35487384,10.65,83.635,56.998,1.340,83,24,36,,
T,2024-11-19 12:31:18,53.97374336,-7.35487364,10.13,84.167,56.998,1.120,91,24,36,,
T,2024-11-19 12:31:19,53.97373231,-7.35487344,9.94,84.181,56.998,1.240,90,25,36,,
T,2024-11-19 12:31:20,53.97372057,-7.35487572,9.94,84.919,56.998,1.300,89,24,36,,
T,2024-11-19 12:31:21,53.97370891,-7.35487628,10.00,85.088,56.998,1.390,86,23,36,,
T,2024-11-19 12:31:22,53.97369901,-7.35488015,10.30,85.487,56.998,1.220,88,21,36,,
T,2024-11-19 12:31:23,53.97369287,-7.35488158,10.67,85.302,56.998,0.830,85,19,36,,
T,2024-11-19 12:31:24,53.97368505,-7.35488206,10.99,85.772,56.998,1.040,84,19,36,,
T,2024-11-19 12:31:25,53.97367429,-7.35488179,11.33,85.752,56.998,1.220,87,17,36,,
T,2024-11-19 12:31:26,53.97365415,-7.35489270,11.21,86.047,56.998,1.930,88,15,36,,
T,2024-11-19 12:31:27,53.97363613,-7.35490126,11.10,86.582,56.998,1.780,92,13,36,,
T,2024-11-19 12:31:28,53.97361923,-7.35490887,11.31,86.963,56.998,1.830,87,15,36,,
T,2024-11-19 12:31:29,53.97360459,-7.35491711,10.99,87.003,56.998,1.420,90,19,36,,
T,2024-11-19 12:31:30,53.97358326,-7.35493486,11.27,87.654,56.998,1.510,93,19,36,,
T,2024-11-19 12:31:31,53.97357129,-7.35493293,11.37,87.508,56.998,1.200,97,19,36,,
T,2024-11-19 12:31:32,53.97355707,-7.35493781,11.24,87.235,56.998,1.400,97,18,35,,
T,2024-11-19 12:31:33,53.97354386,-7.35494168,11.14,87.761,56.998,1.310,100,19,36,,
T,2024-11-19 12:31:34,53.97352926,-7.35494895,11.22,87.876,56.998,1.550,98,19,36,,
T,2024-11-19 12:31:35,53.97352375,-7.35495011,11.17,87.090,56.998,1.110,101,16,36,,
T,2024-11-19 12:31:36,53.97351279,-7.35495539,11.24,87.337,56.998,1.330,100,16,36,,
T,2024-11-19 12:31:37,53.97350370,-7.35495876,11.39,87.163,56.998,1.170,99,16,36,,
T,2024-11-19 12:31:38,53.97349174,-7.35497133,11.23,87.053,56.998,1.380,97,15,36,,
T,2024-11-19 12:31:39,53.97347851,-7.35498339,10.86,87.467,56.998,1.570,99,13,36,,
T,2024-11-19 12:31:40,53.97346906,-7.35498803,10.62,86.635,56.998,1.260,94,14,36,,
