type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2024-11-19 12:53:15,53.97029217,-7.35524752,10.82,97.550,56.995,0.000,,27,39,,
T,2024-11-19 12:53:16,53.97028827,-7.35528189,10.76,96.046,56.995,0.000,,22,39,,
T,2024-11-19 12:53:17,53.97028974,-7.35528469,11.04,95.633,56.995,0.000,,24,39,,
T,2024-11-19 12:53:18,53.97027817,-7.35533653,10.34,94.852,56.995,1.620,256,25,39,,
T,2024-11-19 12:53:19,53.97027298,-7.35536399,10.16,95.044,56.995,1.650,253,25,39,,
T,2024-11-19 12:53:20,53.97026915,-7.35540137,9.94,93.709,56.995,1.450,254,25,39,,
T,2024-11-19 12:53:21,53.97027545,-7.35542287,9.94,93.274,56.995,1.390,259,26,39,,
T,2024-11-19 12:53:22,53.97026909,-7.35545889,9.94,92.165,56.995,1.790,259,25,39,,
T,2024-11-19 12:53:23,53.97026677,-7.35548006,9.94,91.752,56.995,1.630,261,26,39,,
T,2024-11-19 12:53:24,53.97026369,-7.35550393,9.94,91.770,56.995,1.530,261,26,39,,
T,2024-11-19 12:53:25,53.97026207,-7.35552676,9.94,91.245,56.995,1.560,260,26,39,,
T,2024-11-19 12:53:26,53.97026094,-7.35555008,9.94,91.024,56.995,1.560,259,26,39,,
T,2024-11-19 12:53:27,53.97026120,-7.35557306,9.94,90.940,56.995,1.650,262,25,39,,
T,2024-11-19 12:53:28,53.97025933,-7.35559232,9.94,91.378,56.995,1.410,254,25,39,,
T,2024-11-19 12:53:29,53.97025977,-7.35561402,9.94,91.309,56.995,1.600,267,24,39,,
T,2024-11-19 12:53:30,53.97025778,-7.35563371,10.07,91.788,56.995,1.390,262,24,39,,
T,2024-11-19 12:53:31,53.97025656,-7.35565252,9.94,91.380,56.995,1.460,268,24,39,,
T,2024-11-19 12:53:32,53.97025678,-7.35567409,9.94,91.383,56.995,1.550,282,24,39,,
T,2024-11-19 12:53:33,53.97025974,-7.35569392,9.94,90.709,56.995,1.370,289,24,39,,
T,2024-11-19 12:53:34,53.97026394,-7.35571549,9.94,90.538,56.995,1.440,276,24,39,,
T,2024-11-19 12:53:35,53.97026658,-7.35573586,9.94,90.436,56.995,1.400,271,24,39,,
T,2024-11-19 12:53:36,53.97026832,-7.35575715,9.94,90.260,56.995,1.470,268,24,39,,
T,2024-11-19 12:53:37,53.97026897,-7.35577647,9.94,90.654,56.995,1.370,267,24,39,,
T,2024-11-19 12:53:38,53.97026813,-7.35580093,9.94,91.305,56.995,1.650,274,24,39,,
T,2024-11-19 12:53:39,53.97026871,-7.35582441,9.94,90.887,56.995,1.470,270,24,39,,
T,2024-11-19 12:53:40,53.97026657,-7.35584710,9.94,90.474,56.995,1.480,264,24,39,,
T,2024-11-19 12:53:41,53.97026503,-7.35587293,9.94,90.410,56.995,1.720,264,24,39,,
T,2024-11-19 12:53:42,53.97026358,-7.35589484,9.94,90.104,56.995,1.300,259,24,39,,
T,2024-11-19 12:53:43,53.97026197,-7.35591188,9.94,89.518,56.995,0.950,253,24,39,,
T,2024-11-19 12:53:44,53.97026111,-7.35592605,9.94,89.316,56.995,0.920,264,24,39,,
T,2024-11-19 12:53:45,53.97025752,-7.35593971,9.94,89.246,56.995,0.960,251,24,39,,
T,2024-11-19 12:53:46,53.97024432,-7.35595206,9.94,88.601,56.995,1.450,217,25,39,,
T,2024-11-19 12:53:47,53.97023001,-7.35596164,9.94,89.111,56.995,1.320,209,26,39,,
T,2024-11-19 12:53:48,53.97021897,-7.35597052,9.94,88.810,56.995,1.130,208,26,39,,
T,2024-11-19 12:53:49,53.97020481,-7.35597866,9.94,88.460,56.995,1.360,206,26,39,,
T,2024-11-19 12:53:50,53.97019039,-7.35598643,9.94,88.738,56.995,1.420,211,27,39,,
T,2024-11-19 12:53:51,53.97017419,-7.35599544,9.94,88.932,56.995,1.630,208,27,39,,
T,2024-11-19 12:53:52,53.97015924,-7.35600482,9.94,89.178,56.995,1.530,210,26,39,,
T,2024-11-19 12:53:53,53.97014407,-7.35601214,9.94,89.265,56.995,1.550,202,25,39,,
T,2024-11-19 12:53:54,53.97013092,-7.35601596,9.94,89.030,56.995,1.380,202,26,39,,
T,2024-11-19 12:53:55,53.97012213,-7.35601899,9.94,89.195,56.995,1.030,207,26,39,,
T,2024-11-19 12:53:56,53.97010908,-7.35602250,9.94,89.082,56.995,1.450,197,26,39,,
T,2024-11-19 12:53:57,53.97010336,-7.35602528,10.97,88.604,56.995,1.410,198,26,39,,
T,2024-11-19 12:53:58,53.97009609,-7.35602264,10.93,88.137,56.995,1.320,194,26,39,,
T,2024-11-19 12:53:59,53.97008943,-7.35601629,10.35,89.027,56.995,0.000,,25,39,,
T,2024-11-19 12:54:00,53.97008031,-7.35602564,10.47,88.802,56.995,0.000,,20,39,,
T,2024-11-19 12:54:01,53.97007424,-7.35602622,10.30,90.200,56.995,0.000,,23,39,,
T,2024-11-19 12:54:02,53.97006690,-7.35602883,10.19,90.044,56.995,0.000,,25,39,,
T,2024-11-19 12:54:03,53.97005989,-7.35603663,10.16,89.862,56.995,0.000,,25,39,,
T,2024-11-19 12:54:04,53.97005485,-7.35604203,10.16,89.712,56.995,0.000,,25,39,,
T,2024-11-19 12:54:05,53.97005053,-7.35604536,10.22,89.374,56.995,0.000,,25,39,,
T,2024-11-19 12:54:06,53.97004351,-7.35605006,10.23,89.295,56.995,0.000,,26,39,,
T,2024-11-19 12:54:07,53.97003756,-7.35605082,10.34,89.487,56.995,0.000,,26,39,,
T,2024-11-19 12:54:08,53.97003487,-7.35605228,10.42,89.658,56.995,0.000,,26,39,,
T,2024-11-19 12:54:09,53.97003275,-7.35605404,10.35,89.553,56.995,0.000,,26,39,,
T,2024-11-19 12:54:10,53.97003135,-7.35605518,9.94,89.631,56.995,0.000,,26,39,,
T,2024-11-19 12:54:11,53.96997180,-7.35608697,9.94,89.063,56.995,2.160,206,27,39,,
T,2024-11-19 12:54:12,53.96993601,-7.35610269,9.94,89.195,56.995,1.460,200,27,39,,
T,2024-11-19 12:54:13,53.96991127,-7.35611419,9.94,89.056,56.995,1.700,197,27,39,,
T,2024-11-19 12:54:14,53.96989985,-7.35612855,9.94,89.083,56.995,1.320,195,27,39,,
T,2024-11-19 12:54:15,53.96988719,-7.35613789,9.94,88.640,56.995,1.370,197,27,39,,
T,2024-11-19 12:54:16,53.96987332,-7.35614468,9.94,89.834,56.995,1.450,196,27,39,,
T,2024-11-19 12:54:17,53.96985898,-7.35614966,9.94,90.118,56.995,1.450,193,27,39,,
T,2024-11-19 12:54:18,53.96984446,-7.35615362,9.94,89.469,56.995,1.470,189,27,39,,
T,2024-11-19 12:54:19,53.96982936,-7.35615575,9.94,89.217,56.995,1.500,187,27,39,,
T,2024-11-19 12:54:20,53.96981295,-7.35615380,9.94,89.369,56.995,1.580,183,26,39,,
T,2024-11-19 12:54:21,53.96976097,-7.35611457,11.69,91.735,56.995,1.760,176,27,39,,
T,2024-11-19 12:54:22,53.96975845,-7.35609960,11.70,92.976,56.995,1.500,170,27,39,,
T,2024-11-19 12:54:23,53.96976832,-7.35612747,10.82,92.435,56.995,0.000,,27,39,,
T,2024-11-19 12:54:24,53.96975317,-7.35615942,9.94,90.455,56.995,1.300,194,21,39,,
T,2024-11-19 12:54:25,53.96974978,-7.35617504,9.94,89.111,56.995,1.390,195,22,39,,
T,2024-11-19 12:54:26,53.96973434,-7.35618415,9.94,89.219,56.995,1.500,186,23,39,,
T,2024-11-19 12:54:27,53.96973079,-7.35621211,9.94,89.072,56.995,1.470,195,23,39,,
T,2024-11-19 12:54:28,53.96971640,-7.35622267,9.94,88.696,56.995,1.540,215,24,39,,
T,2024-11-19 12:54:29,53.96970669,-7.35621093,9.94,88.597,56.995,1.350,155,24,39,,
T,2024-11-19 12:54:30,53.96969459,-7.35620800,9.94,88.250,56.995,1.270,195,24,39,,
T,2024-11-19 12:54:31,53.96968885,-7.35620797,9.94,88.981,56.995,0.370,195,24,39,,
T,2024-11-19 12:54:32,53.96968654,-7.35620823,9.94,88.545,56.995,0.210,195,24,39,,
T,2024-11-19 12:54:33,53.96968616,-7.35620649,9.94,88.302,56.995,0.240,195,24,39,,
T,2024-11-19 12:54:34,53.96969012,-7.35620940,9.94,88.280,56.995,0.270,195,23,39,,
T,2024-11-19 12:54:35,53.96969547,-7.35621967,9.94,88.511,56.995,0.520,321,23,39,,
T,2024-11-19 12:54:36,53.96966607,-7.35620498,11.13,91.622,56.995,0.000,,23,39,,
T,2024-11-19 12:54:37,53.96968146,-7.35621006,10.58,91.297,56.995,0.830,275,23,39,,
T,2024-11-19 12:54:38,53.96968773,-7.35623802,10.14,90.801,56.995,0.000,,24,39,,
T,2024-11-19 12:54:39,53.96968741,-7.35623822,10.34,90.728,56.995,0.000,,15,39,,
T,2024-11-19 12:54:40,53.96969301,-7.35625794,10.48,90.105,56.995,0.000,,17,39,,
T,2024-11-19 12:54:41,53.96968824,-7.35627758,10.65,90.015,56.995,0.000,,21,39,,
T,2024-11-19 12:54:42,53.96968715,-7.35629207,10.61,89.897,56.995,0.000,,22,39,,
T,2024-11-19 12:54:43,53.96966479,-7.35634353,9.94,91.030,56.995,2.180,223,23,39,,
T,2024-11-19 12:54:44,53.96965308,-7.35636960,9.94,90.097,56.995,1.300,217,24,39,,
T,2024-11-19 12:54:45,53.96964004,-7.35637559,9.94,90.073,56.995,1.360,212,26,39,,
T,2024-11-19 12:54:46,53.96963657,-7.35639385,9.94,88.553,56.995,1.510,204,25,39,,
T,2024-11-19 12:54:47,53.96962794,-7.35640318,9.94,87.834,56.995,1.170,199,24,39,,
T,2024-11-19 12:54:48,53.96961413,-7.35640745,9.94,88.087,56.995,1.410,188,25,39,,
T,2024-11-19 12:54:49,53.96959999,-7.35640914,9.94,87.619,56.995,1.540,188,26,39,,
T,2024-11-19 12:54:50,53.96959051,-7.35641380,9.94,87.506,56.995,1.100,188,26,39,,
T,2024-11-19 12:54:51,53.96957803,-7.35642108,9.94,87.447,56.995,1.380,188,26,39,,
T,2024-11-19 12:54:52,53.96956427,-7.35642840,9.94,87.765,56.995,1.480,190,26,39,,
T,2024-11-19 12:54:53,53.96955233,-7.35643498,9.94,87.539,56.995,1.330,191,24,39,,
T,2024-11-19 12:54:54,53.96954076,-7.35644123,9.94,87.183,56.995,1.380,193,24,39,,
T,2024-11-19 12:54:55,53.96952855,-7.35644801,9.94,86.803,56.995,1.260,195,24,39,,
T,2024-11-19 12:54:56,53.96951534,-7.35645468,9.94,86.545,56.995,1.380,198,25,39,,
T,2024-11-19 12:54:57,53.96950388,-7.35646352,9.94,86.539,56.995,1.360,206,25,39,,
T,2024-11-19 12:54:58,53.96949184,-7.35646935,9.94,86.498,56.995,1.370,198,25,39,,
T,2024-11-19 12:54:59,53.96947928,-7.35647050,9.94,86.676,56.995,1.360,193,24,39,,
T,2024-11-19 12:55:00,53.96946672,-7.35647257,9.94,86.753,56.994,1.350,191,24,39,,
T,2024-11-19 12:55:01,53.96945445,-7.35647709,9.94,86.867,56.994,1.350,189,25,39,,
T,2024-11-19 12:55:02,53.96944260,-7.35648517,9.94,86.511,56.994,1.360,193,24,39,,
T,2024-11-19 12:55:03,53.96943095,-7.35649096,9.94,86.911,56.994,1.320,193,23,39,,
T,2024-11-19 12:55:04,53.96941914,-7.35649301,9.94,86.981,56.994,1.360,185,23,39,,
T,2024-11-19 12:55:05,53.96940754,-7.35649774,9.94,87.110,56.994,1.390,197,23,38,,
T,2024-11-19 12:55:06,53.96939562,-7.35650217,9.94,87.075,56.994,1.380,197,23,39,,
T,2024-11-19 12:55:07,53.96938374,-7.35650551,9.94,86.503,56.994,1.350,196,23,39,,
T,2024-11-19 12:55:08,53.96937091,-7.35650675,9.94,86.886,56.994,1.410,192,24,39,,
T,2024-11-19 12:55:09,53.96935862,-7.35650812,9.94,87.252,56.994,1.350,190,24,39,,
T,2024-11-19 12:55:10,53.96934573,-7.35650987,9.94,86.995,56.994,1.360,188,26,39,,
T,2024-11-19 12:55:11,53.96933231,-7.35651378,9.94,86.946,56.994,1.350,190,26,39,,
T,2024-11-19 12:55:12,53.96932117,-7.35652158,9.94,86.334,56.994,1.330,204,25,39,,
T,2024-11-19 12:55:13,53.96930926,-7.35652620,9.94,86.357,56.994,1.330,193,25,39,,
T,2024-11-19 12:55:14,53.96929749,-7.35653158,9.94,85.794,56.994,1.410,192,25,39,,
T,2024-11-19 12:55:15,53.96928562,-7.35653752,9.94,85.431,56.994,1.340,195,25,39,,
T,2024-11-19 12:55:16,53.96927403,-7.35654189,9.94,85.605,56.994,1.370,191,25,39,,
T,2024-11-19 12:55:17,53.96926137,-7.35654671,9.94,85.591,56.994,1.330,192,26,39,,
T,2024-11-19 12:55:18,53.96924751,-7.35655400,9.94,85.326,56.994,1.460,195,25,39,,
T,2024-11-19 12:55:19,53.96923372,-7.35656047,9.94,85.660,56.994,1.490,192,25,39,,
T,2024-11-19 12:55:20,53.96922133,-7.35656527,9.94,85.806,56.994,1.350,195,26,39,,
T,2024-11-19 12:55:21,53.96920945,-7.35657185,9.94,85.652,56.994,1.400,199,26,39,,
T,2024-11-19 12:55:22,53.96919721,-7.35657742,9.94,85.512,56.994,1.400,194,26,39,,
T,2024-11-19 12:55:23,53.96918435,-7.35658299,9.94,85.542,56.994,1.440,198,27,39,,
T,2024-11-19 12:55:24,53.96917161,-7.35658726,9.94,85.899,56.994,1.390,195,27,39,,
T,2024-11-19 12:55:25,53.96915835,-7.35659110,9.94,85.939,56.994,1.450,192,27,39,,
T,2024-11-19 12:55:26,53.96914627,-7.35659418,9.94,85.717,56.994,1.370,194,27,39,,
T,2024-11-19 12:55:27,53.96913279,-7.35659733,9.94,85.522,56.994,1.490,192,27,39,,
T,2024-11-19 12:55:28,53.96911994,-7.35660278,9.94,85.249,56.994,1.400,198,27,39,,
T,2024-11-19 12:55:29,53.96910676,-7.35660690,9.94,85.245,56.994,1.440,195,26,39,,
T,2024-11-19 12:55:30,53.96909510,-7.35661002,9.94,85.241,56.994,1.360,192,26,39,,
T,2024-11-19 12:55:31,53.96908483,-7.35661310,9.94,84.855,56.994,1.330,191,26,39,,
T,2024-11-19 12:55:32,53.96907381,-7.35661615,9.94,84.786,56.994,1.370,188,26,39,,
T,2024-11-19 12:55:33,53.96906227,-7.35661968,9.94,84.484,56.994,1.380,195,26,39,,
T,2024-11-19 12:55:34,53.96905043,-7.35662376,9.94,86.046,56.994,1.390,189,25,39,,
T,2024-11-19 12:55:35,53.96903912,-7.35662604,9.94,85.347,56.994,1.310,183,25,39,,
T,2024-11-19 12:55:36,53.96902678,-7.35663042,9.94,84.856,56.994,1.380,192,26,39,,
T,2024-11-19 12:55:37,53.96901560,-7.35663609,9.94,84.880,56.994,1.390,193,26,39,,
T,2024-11-19 12:55:38,53.96900527,-7.35664295,9.94,84.798,56.994,1.310,200,25,39,,
T,2024-11-19 12:55:39,53.96899289,-7.35665101,9.94,84.891,56.994,1.390,201,26,39,,
T,2024-11-19 12:55:40,53.96898059,-7.35665635,9.94,84.927,56.994,1.380,194,26,39,,
T,2024-11-19 12:55:41,53.96896843,-7.35665997,9.94,84.976,56.994,1.390,186,26,39,,
T,2024-11-19 12:55:42,53.96895529,-7.35666616,9.94,84.574,56.994,1.440,193,25,39,,
T,2024-11-19 12:55:43,53.96894250,-7.35667443,9.94,84.456,56.994,1.400,199,25,39,,
T,2024-11-19 12:55:44,53.96893044,-7.35668215,9.94,84.395,56.994,1.380,200,25,39,,
T,2024-11-19 12:55:45,53.96891584,-7.35668555,9.94,84.295,56.994,1.550,187,25,39,,
T,2024-11-19 12:55:46,53.96890222,-7.35669205,9.94,84.578,56.994,1.480,196,25,39,,
T,2024-11-19 12:55:47,53.96889045,-7.35669925,9.94,84.940,56.994,1.400,198,25,39,,
T,2024-11-19 12:55:48,53.96887905,-7.35670530,9.94,84.549,56.994,1.430,194,26,39,,
T,2024-11-19 12:55:49,53.96886760,-7.35671279,9.94,83.626,56.994,1.430,202,26,39,,
T,2024-11-19 12:55:50,53.96885562,-7.35671976,9.94,83.203,56.994,1.390,200,26,39,,
T,2024-11-19 12:55:51,53.96884335,-7.35672542,9.94,82.664,56.994,1.410,199,26,39,,
T,2024-11-19 12:55:52,53.96883031,-7.35672979,9.94,82.770,56.994,1.400,196,25,38,,
T,2024-11-19 12:55:53,53.96881822,-7.35673198,9.94,82.783,56.994,1.390,188,25,39,,
T,2024-11-19 12:55:54,53.96880596,-7.35674005,9.94,82.601,56.994,1.470,203,24,39,,
T,2024-11-19 12:55:55,53.96879431,-7.35674517,9.94,82.504,56.994,1.320,194,24,39,,
T,2024-11-19 12:55:56,53.96878196,-7.35675060,9.94,82.241,56.994,1.460,194,25,39,,
T,2024-11-19 12:55:57,53.96876879,-7.35675524,9.94,82.126,56.994,1.430,190,25,39,,
T,2024-11-19 12:55:58,53.96875706,-7.35676161,9.94,82.063,56.994,1.360,196,24,39,,
T,2024-11-19 12:55:59,53.96874445,-7.35676717,9.94,81.992,56.994,1.460,194,23,39,,
T,2024-11-19 12:56:00,53.96873237,-7.35677321,9.94,82.334,56.994,1.440,195,24,39,,
T,2024-11-19 12:56:01,53.96871987,-7.35677806,9.94,82.321,56.994,1.440,192,24,39,,
T,2024-11-19 12:56:02,53.96870713,-7.35678341,9.94,82.068,56.994,1.400,193,24,39,,
T,2024-11-19 12:56:03,53.96869409,-7.35678968,9.94,82.260,56.994,1.390,200,23,39,,
T,2024-11-19 12:56:04,53.96868008,-7.35679309,9.94,82.263,56.994,1.420,195,23,39,,
T,2024-11-19 12:56:05,53.96866641,-7.35679323,9.94,82.310,56.994,1.460,181,23,39,,
T,2024-11-19 12:56:06,53.96865381,-7.35679780,9.94,82.537,56.994,1.460,195,24,39,,
T,2024-11-19 12:56:07,53.96863405,-7.35679321,11.21,84.198,56.994,1.380,191,24,39,,
T,2024-11-19 12:56:08,53.96862251,-7.35678772,11.56,84.265,56.994,1.340,183,24,39,,
T,2024-11-19 12:56:09,53.96861735,-7.35679224,11.18,84.794,56.994,1.330,195,24,39,,
T,2024-11-19 12:56:10,53.96860204,-7.35679444,9.94,84.912,56.994,1.500,197,13,39,,
T,2024-11-19 12:56:11,53.96859230,-7.35680800,9.94,84.167,56.994,1.470,200,24,39,,
T,2024-11-19 12:56:12,53.96857550,-7.35680867,9.94,84.098,56.994,1.490,199,24,39,,
T,2024-11-19 12:56:13,53.96856486,-7.35681797,9.94,82.917,56.994,1.410,202,24,39,,
T,2024-11-19 12:56:14,53.96855081,-7.35682729,9.94,82.676,56.994,1.440,205,24,39,,
T,2024-11-19 12:56:15,53.96853914,-7.35683838,9.94,82.381,56.994,1.420,204,24,39,,
T,2024-11-19 12:56:16,53.96852836,-7.35684647,9.94,82.622,56.994,1.420,205,24,39,,
T,2024-11-19 12:56:17,53.96851657,-7.35684981,9.94,82.841,56.994,1.400,211,24,39,,
T,2024-11-19 12:56:18,53.96849382,-7.35681323,11.14,85.821,56.994,1.460,185,24,39,,
T,2024-11-19 12:56:19,53.96848155,-7.35680470,11.47,86.132,56.994,1.440,183,23,39,,
T,2024-11-19 12:56:20,53.96848558,-7.35681027,10.82,85.290,56.994,0.000,,23,39,,
T,2024-11-19 12:56:21,53.96845780,-7.35683430,10.74,85.176,56.994,1.550,171,19,39,,
T,2024-11-19 12:56:22,53.96844728,-7.35685517,9.94,84.547,56.994,1.520,171,22,39,,
T,2024-11-19 12:56:23,53.96843656,-7.35686215,10.44,83.765,56.994,1.480,174,22,39,,
T,2024-11-19 12:56:24,53.96842498,-7.35687594,9.94,82.435,56.994,1.460,199,23,39,,
T,2024-11-19 12:56:25,53.96840994,-7.35688985,9.94,82.166,56.994,1.850,201,23,39,,
T,2024-11-19 12:56:26,53.96840342,-7.35690452,9.94,82.293,56.994,1.320,200,23,39,,
T,2024-11-19 12:56:27,53.96839924,-7.35691190,9.94,81.870,56.994,0.760,200,23,39,,
T,2024-11-19 12:56:28,53.96838882,-7.35691816,9.94,81.837,56.994,1.460,190,23,39,,
T,2024-11-19 12:56:29,53.96837583,-7.35692309,9.94,81.817,56.994,1.440,193,23,39,,
T,2024-11-19 12:56:30,53.96836487,-7.35693055,9.94,82.038,56.994,1.330,199,22,39,,
T,2024-11-19 12:56:31,53.96834187,-7.35688829,11.30,84.785,56.994,1.410,193,23,39,,
T,2024-11-19 12:56:32,53.96833145,-7.35690420,11.44,83.379,56.994,1.280,195,23,39,,
T,2024-11-19 12:56:33,53.96832706,-7.35692762,9.94,81.784,56.994,1.100,197,23,39,,
T,2024-11-19 12:56:34,53.96831841,-7.35694994,9.94,81.146,56.994,1.210,202,20,39,,
T,2024-11-19 12:56:35,53.96831358,-7.35696283,9.94,80.338,56.994,1.300,196,22,39,,
T,2024-11-19 12:56:36,53.96829137,-7.35696076,9.94,80.770,56.994,1.510,196,24,39,,
T,2024-11-19 12:56:37,53.96827487,-7.35695879,9.94,81.065,56.994,1.390,190,24,39,,
T,2024-11-19 12:56:38,53.96825976,-7.35696021,9.94,80.948,56.994,1.590,183,24,39,,
T,2024-11-19 12:56:39,53.96824591,-7.35696426,9.94,81.879,56.994,1.480,186,25,39,,
T,2024-11-19 12:56:40,53.96823295,-7.35696989,9.94,82.026,56.993,1.430,188,25,39,,
T,2024-11-19 12:56:41,53.96822093,-7.35697820,9.94,81.446,56.993,1.500,196,25,39,,
T,2024-11-19 12:56:42,53.96820900,-7.35698995,9.94,81.109,56.993,1.450,206,25,39,,
T,2024-11-19 12:56:43,53.96819560,-7.35699623,9.94,80.960,56.993,1.470,197,25,39,,
T,2024-11-19 12:56:44,53.96818230,-7.35699551,9.94,80.859,56.993,1.480,184,25,39,,
T,2024-11-19 12:56:45,53.96817036,-7.35699713,9.94,81.062,56.993,1.450,191,25,39,,
T,2024-11-19 12:56:46,53.96815775,-7.35700309,9.94,80.660,56.993,1.450,194,25,39,,
T,2024-11-19 12:56:47,53.96814429,-7.35700909,9.94,80.670,56.993,1.470,196,25,39,,
T,2024-11-19 12:56:48,53.96813270,-7.35702027,9.94,81.075,56.993,1.450,206,24,39,,
T,2024-11-19 12:56:49,53.96811966,-7.35702603,9.94,80.431,56.993,1.490,191,24,39,,
T,2024-11-19 12:56:50,53.96810827,-7.35703139,9.94,80.448,56.993,1.430,193,24,39,,
T,2024-11-19 12:56:51,53.96809693,-7.35703597,9.94,80.745,56.993,1.430,189,24,39,,
T,2024-11-19 12:56:52,53.96808437,-7.35703773,9.94,80.284,56.993,1.430,186,24,39,,
T,2024-11-19 12:56:53,53.96807135,-7.35704204,9.94,80.032,56.993,1.440,191,23,39,,
T,2024-11-19 12:56:54,53.96805988,-7.35705019,9.94,80.114,56.993,1.430,194,24,39,,
T,2024-11-19 12:56:55,53.96804755,-7.35705887,9.94,80.206,56.993,1.420,196,24,39,,
T,2024-11-19 12:56:56,53.96803486,-7.35706512,9.94,80.327,56.993,1.430,192,24,39,,
T,2024-11-19 12:56:57,53.96802313,-7.35706995,9.94,79.205,56.993,1.430,192,24,39,,
T,2024-11-19 12:56:58,53.96801072,-7.35707430,9.94,78.874,56.993,1.430,191,24,39,,
T,2024-11-19 12:56:59,53.96799778,-7.35707660,9.94,78.909,56.993,1.450,195,24,39,,
T,2024-11-19 12:57:00,53.96798215,-7.35707950,9.94,79.613,56.993,1.570,192,24,39,,
T,2024-11-19 12:57:01,53.96796677,-7.35707934,9.94,79.902,56.993,1.470,191,23,39,,
T,2024-11-19 12:57:02,53.96795305,-7.35707944,9.94,80.405,56.993,1.510,185,23,39,,
T,2024-11-19 12:57:03,53.96794166,-7.35708542,9.94,80.715,56.993,1.430,194,24,39,,
T,2024-11-19 12:57:04,53.96792897,-7.35708820,9.94,81.120,56.993,1.460,192,25,39,,
T,2024-11-19 12:57:05,53.96791648,-7.35709348,9.94,81.460,56.993,1.470,195,25,39,,
T,2024-11-19 12:57:06,53.96790346,-7.35709498,9.94,81.902,56.993,1.460,191,25,38,,
T,2024-11-19 12:57:07,53.96789061,-7.35709643,9.94,81.805,56.993,1.470,190,25,39,,
T,2024-11-19 12:57:08,53.96787750,-7.35709839,9.94,81.844,56.993,1.470,186,25,39,,
T,2024-11-19 12:57:09,53.96786313,-7.35710178,9.94,82.290,56.993,1.540,189,24,39,,
T,2024-11-19 12:57:10,53.96784890,-7.35710359,9.94,82.599,56.993,1.490,188,24,39,,
T,2024-11-19 12:57:11,53.96783543,-7.35710417,9.94,82.775,56.993,1.490,186,24,39,,
T,2024-11-19 12:57:12,53.96782321,-7.35710900,9.94,83.275,56.993,1.440,192,24,39,,
T,2024-11-19 12:57:13,53.96781008,-7.35711049,9.94,83.469,56.993,1.500,183,24,39,,
T,2024-11-19 12:57:14,53.96779815,-7.35711192,9.94,83.982,56.993,1.420,190,24,39,,
T,2024-11-19 12:57:15,53.96778669,-7.35711190,9.94,83.895,56.993,1.380,186,25,39,,
T,2024-11-19 12:57:16,53.96777483,-7.35711423,9.94,83.825,56.993,1.370,192,25,39,,
T,2024-11-19 12:57:17,53.96776337,-7.35711199,9.94,84.200,56.993,1.430,175,25,39,,
T,2024-11-19 12:57:18,53.96775098,-7.35711850,9.94,83.943,56.993,1.490,191,26,39,,
T,2024-11-19 12:57:19,53.96773680,-7.35712302,9.94,83.979,56.993,1.490,186,26,39,,
T,2024-11-19 12:57:20,53.96772497,-7.35712686,9.94,83.920,56.993,1.420,187,26,39,,
T,2024-11-19 12:57:21,53.96771330,-7.35713263,9.94,84.164,56.993,1.450,190,26,39,,
T,2024-11-19 12:57:22,53.96770130,-7.35713737,9.94,84.522,56.993,1.470,190,26,39,,
T,2024-11-19 12:57:23,53.96768842,-7.35714206,9.94,84.378,56.993,1.510,191,26,39,,
T,2024-11-19 12:57:24,53.96767645,-7.35714742,9.94,84.316,56.993,1.460,192,25,39,,
T,2024-11-19 12:57:25,53.96766391,-7.35714997,9.94,84.318,56.993,1.480,190,25,39,,
T,2024-11-19 12:57:26,53.96765237,-7.35715418,9.94,84.755,56.993,1.340,188,26,39,,
T,2024-11-19 12:57:27,53.96764036,-7.35715638,9.94,84.360,56.993,1.370,186,26,39,,
T,2024-11-19 12:57:28,53.96762874,-7.35716501,9.94,84.551,56.993,1.490,200,26,39,,
T,2024-11-19 12:57:29,53.96761677,-7.35717027,9.94,84.669,56.993,1.430,198,26,39,,
T,2024-11-19 12:57:30,53.96760406,-7.35717071,9.94,84.981,56.993,1.460,182,27,39,,
T,2024-11-19 12:57:31,53.96759023,-7.35717386,9.94,84.997,56.993,1.490,193,27,39,,
T,2024-11-19 12:57:32,53.96757707,-7.35717441,9.94,84.505,56.993,1.360,181,26,39,,
T,2024-11-19 12:57:33,53.96756363,-7.35717980,9.94,84.717,56.993,1.450,193,27,39,,
T,2024-11-19 12:57:34,53.96755135,-7.35718299,9.94,84.348,56.993,1.420,185,27,39,,
T,2024-11-19 12:57:35,53.96753977,-7.35718455,9.94,83.942,56.993,1.370,181,27,39,,
T,2024-11-19 12:57:36,53.96752758,-7.35718887,9.94,84.333,56.993,1.440,190,26,39,,
T,2024-11-19 12:57:37,53.96751532,-7.35719396,9.94,84.401,56.993,1.410,191,26,39,,
T,2024-11-19 12:57:38,53.96749410,-7.35718863,10.50,85.784,56.993,1.670,189,26,39,,
T,2024-11-19 12:57:39,53.96747921,-7.35717256,10.14,85.997,56.993,1.330,184,26,39,,
T,2024-11-19 12:57:40,53.96747019,-7.35716057,9.94,86.882,56.993,1.270,180,25,39,,
T,2024-11-19 12:57:41,53.96745303,-7.35714900,9.94,87.336,56.993,1.650,177,23,39,,
T,2024-11-19 12:57:42,53.96743948,-7.35715357,9.94,87.392,56.993,1.590,184,26,39,,
